Active,Name,Task Nesting,Actual Dates Enabled,Actual Start,Actual End,Planned Dates Enabled,Planned Start,Planned End,Task Type,Attached,Script,Data Source,Synchronization ID,Display ID,Animation,Animation Behavior,Provided Progress %,Comments,Material Cost,Labor Cost,Equipment Cost,Subcontractor Cost,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10
1,00 PILES-85,3,1,,,1,,,Construct,,,,,392db19e-46dc-5da7-bee8-e174ab1a7008,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-20,3,1,,,1,,,Construct,,,,,170050db-e645-53b6-9df3-bfb1d6afe607,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-47,3,1,,,1,,,Construct,,,,,a1ee42ea-ba75-5a4f-b26d-f55c21ea3403,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-86,3,1,,,1,,,Construct,,,,,818fd5d5-b5da-5418-947d-22413afaa954,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-21,3,1,,,1,,,Construct,,,,,08d3085d-7b72-55ce-967a-85ca87499558,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-46,3,1,,,1,,,Construct,,,,,1c3ab40d-2346-5435-9bba-4f374d211ad7,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-87,3,1,,,1,,,Construct,,,,,ad0e01f4-12a2-507a-988d-2494898ce852,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-22,3,1,,,1,,,Construct,,,,,267ba924-350a-5dfe-a482-54dd39d90a60,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-45,3,1,,,1,,,Construct,,,,,02c2766e-20c8-5c41-ab1e-3c1cb3d08667,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-88,3,1,,,1,,,Construct,,,,,89fe876c-f731-5cbc-a36e-5fe9e205d9e9,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-23,3,1,,,1,,,Construct,,,,,082aa5ae-2929-57cd-a271-e53c90ca7899,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-44,3,1,,,1,,,Construct,,,,,0e9f4381-598a-5e44-9017-25e86141bd5a,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-89,3,1,,,1,,,Construct,,,,,1633c226-4bd2-53bc-9c8e-0daec6c562dd,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-24,3,1,,,1,,,Construct,,,,,6ff7f299-3aeb-5b7a-9fbc-e871f713473e,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-43,3,1,,,1,,,Construct,,,,,0e11a363-3521-5d5d-93f3-991d12377be9,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-90,3,1,,,1,,,Construct,,,,,adbd2e33-36ad-5e91-adf3-e8029bac093f,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-73,3,1,,,1,,,Construct,,,,,85bc3258-4025-5bcb-bb7d-bbc1eb6f3bd8,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-60,3,1,,,1,,,Construct,,,,,e4821cd6-4e41-5081-b6c0-d7a528eac309,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-7,3,1,,,1,,,Construct,,,,,e87c1167-49ac-538a-b125-0087a5a13d41,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-72,3,1,,,1,,,Construct,,,,,3a9fa087-2940-5202-94c2-57784ed903f0,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-61,3,1,,,1,,,Construct,,,,,341ff738-e522-5c4d-a2d3-54c734b09585,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-6,3,1,,,1,,,Construct,,,,,db9c9e66-4a59-5a1c-bc04-be18cb4ad5d0,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-71,3,1,,,1,,,Construct,,,,,66660b9b-ccf0-5cc9-bcc2-f00ab6084b4d,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-62,3,1,,,1,,,Construct,,,,,69092b76-90c9-51e0-91e4-8d15a921f9f8,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-5,3,1,,,1,,,Construct,,,,,aeb88b9f-f607-55a7-a9e6-c90c156e3d70,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-70,3,1,,,1,,,Construct,,,,,1a128579-519e-55a1-b402-29569398c659,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-63,3,1,,,1,,,Construct,,,,,f9252c0d-9f7a-51d7-80ad-2408bf451363,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-4,3,1,,,1,,,Construct,,,,,62dd1300-3562-550c-9e5f-cb23ed8a8388,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-69,3,1,,,1,,,Construct,,,,,cb390ece-dbea-5e4a-9b96-4c5e32e35d1d,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-64,3,1,,,1,,,Construct,,,,,6d1d4599-e438-59b3-ba70-71df275bfec2,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-3,3,1,,,1,,,Construct,,,,,76eeb8d6-4eb9-5f59-b990-8de836646bb6,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-68,3,1,,,1,,,Construct,,,,,5387c9e5-af79-5c75-8629-daf01321aaab,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-65,3,1,,,1,,,Construct,,,,,cf44514e-88e5-5f57-bbcb-36b7067ec83b,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-2,3,1,,,1,,,Construct,,,,,d5a0677e-fb11-5f10-9826-33aee4be07f2,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-67,3,1,,,1,,,Construct,,,,,2d390fff-49fb-594d-a502-21bf10677a97,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-66,3,1,,,1,,,Construct,,,,,a29a7f4f-cf47-5129-a9e2-e6f4336970d7,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-1,3,1,,,1,,,Construct,,,,,504de16e-ac0c-56e8-9821-6f3bb333417c,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-74,3,1,,,1,,,Construct,,,,,da7f5b54-557d-591e-9756-16b155d82757,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-59,3,1,,,1,,,Construct,,,,,34a4b26e-d964-52b8-a0de-71105ff73f65,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-8,3,1,,,1,,,Construct,,,,,9a19dcb8-aec9-5562-b15b-1da342405087,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-25,3,1,,,1,,,Construct,,,,,2d535600-bc9f-5794-ae21-58c40ecebf58,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-42,3,1,,,1,,,Construct,,,,,d8fb18d7-6db5-57ac-a425-89109bc79c12,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-91,3,1,,,1,,,Construct,,,,,db24b20b-4969-5113-b122-f13faa72ca06,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-26,3,1,,,1,,,Construct,,,,,6a158b31-a98d-54e6-930a-b42c7957999b,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-41,3,1,,,1,,,Construct,,,,,4a42c410-335e-5477-a5dd-04ea82827faf,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-92,3,1,,,1,,,Construct,,,,,53f10e26-1e6d-5f68-89c6-7bf938284667,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-27,3,1,,,1,,,Construct,,,,,101b7572-318b-5dba-b6c7-22183c417282,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-40,3,1,,,1,,,Construct,,,,,73fb5a10-3599-5f96-aa27-ca4d123c92ab,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-93,3,1,,,1,,,Construct,,,,,553b8ba3-b705-54e5-9db0-d25db098b5df,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-28,3,1,,,1,,,Construct,,,,,f2457739-0fcf-53a4-b34d-5b7dede2f1b3,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-39,3,1,,,1,,,Construct,,,,,cdf6424c-bb53-56e6-a2a0-bf9a8b8530e4,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-94,3,1,,,1,,,Construct,,,,,2cf21a0e-e8ef-5321-9060-bd4967276f42,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-29,3,1,,,1,,,Construct,,,,,958cf7a7-6015-5a94-980b-b612223b7b04,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
1,00 PILES-38,3,1,,,1,,,Construct,,,,,8b8413e8-72e8-5bd9-985f-46cd453b9c06,,Scale,0.0%,0,0.000000,0.000000,0.000000,0.000000,hidden,,,,,,,,,
